HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.000000], V, HS[0.000000], BB[0.000000], BB[0.000000], 0.000000, 0.000000
HS[0.400000], V, HS[0.400000], BB[0.000000], BB[0.000000], 0.000000, 0.800000
HS[0.800000], V, HS[0.800000], BB[0.000000], BB[0.000000], 0.000000, 1.600000
HS[1.200000], V, HS[1.200000], BB[0.000000], BB[0.000000], 0.000000, 2.400000
HS[1.600000], V, HS[1.600000], BB[0.000000], BB[0.000000], 0.000000, 3.200000
HS[2.000000], V, HS[2.000000], BB[0.000000], BB[0.000000], 0.000000, 4.000000
HS[2.400000], V, HS[2.400000], BB[0.000000], BB[0.000000], 0.000000, 4.800000
HS[2.800000], V, HS[2.800000], BB[0.000000], BB[0.000000], 0.000000, 5.600000
HS[3.200000], V, HS[3.200000], BB[0.000000], BB[0.000000], 0.000000, 6.400000
